fecha,plato,porciones_vendidas,hora_servicio,dia_semana,es_fin_semana,condicion_climatica,evento_local,tipo_promocion,mes,trimestre
2024-01-01,Ranga Ranga,26,17,Lunes,0,Soleado,Ninguno,Ninguna,1,1
2024-01-02,Ranga Ranga,32,20,Martes,0,Soleado,Ninguno,Ninguna,1,1
2024-01-03,Ranga Ranga,29,17,Miércoles,0,Soleado,Ninguno,Ninguna,1,1
2024-01-04,Ranga Ranga,29,18,Jueves,0,Soleado,Ninguno,Ninguna,1,1
2024-01-05,Ranga Ranga,47,20,Viernes,1,Nublado,Ninguno,Ninguna,1,1
2024-01-06,Ranga Ranga,41,15,Sábado,1,Soleado,Ninguno,Ninguna,1,1
2024-01-07,Ranga Ranga,60,20,Domingo,1,Nublado,Ninguno,2x1,1,1
2024-01-08,Ranga Ranga,30,15,Lunes,0,Soleado,Ninguno,Ninguna,1,1
2024-01-09,Ranga Ranga,38,19,Martes,0,Lluvioso,Ninguno,Ninguna,1,1
2024-01-10,Ranga Ranga,23,22,Miércoles,0,Soleado,Ninguno,Ninguna,1,1
2024-01-11,Ranga Ranga,31,19,Jueves,0,Nublado,Ninguno,Ninguna,1,1
2024-01-12,Ranga Ranga,49,18,Viernes,1,Soleado,Ninguno,Ninguna,1,1
2024-01-13,Ranga Ranga,47,15,Sábado,1,Soleado,Ninguno,Ninguna,1,1
2024-01-14,Ranga Ranga,53,20,Domingo,1,Nublado,Ninguno,Ninguna,1,1
2024-01-15,Ranga Ranga,43,16,Lunes,0,Soleado,Ninguno,Menu del Dia,1,1
2024-01-16,Ranga Ranga,36,19,Martes,0,Soleado,Ninguno,Ninguna,1,1
2024-01-17,Ranga Ranga,27,18,Miércoles,0,Soleado,Ninguno,Ninguna,1,1
2024-01-18,Ranga Ranga,47,18,Jueves,0,Soleado,Ninguno,2x1,1,1
2024-01-19,Ranga Ranga,47,20,Viernes,1,Nublado,Ninguno,Ninguna,1,1
2024-01-20,Ranga Ranga,52,19,Sábado,1,Soleado,Ninguno,Ninguna,1,1
2024-01-21,Ranga Ranga,48,19,Domingo,1,Nublado,Ninguno,Ninguna,1,1
2024-01-22,Ranga Ranga,30,18,Lunes,0,Soleado,Ninguno,Ninguna,1,1
2024-01-23,Ranga Ranga,35,15,Martes,0,Soleado,Ninguno,Ninguna,1,1
2024-01-24,Ranga Ranga,26,19,Miércoles,0,Soleado,Ninguno,Ninguna,1,1
2024-01-25,Ranga Ranga,28,18,Jueves,0,Soleado,Ninguno,Ninguna,1,1
2024-01-26,Ranga Ranga,61,23,Viernes,1,Soleado,Ninguno,Descuento,1,1
2024-01-27,Ranga Ranga,50,16,Sábado,1,Soleado,Ninguno,Ninguna,1,1
2024-01-28,Ranga Ranga,61,17,Domingo,1,Soleado,Ninguno,Ninguna,1,1
2024-01-29,Ranga Ranga,36,18,Lunes,0,Soleado,Ninguno,Ninguna,1,1
2024-01-30,Ranga Ranga,34,20,Martes,0,Nublado,Ninguno,Ninguna,1,1
2024-01-31,Ranga Ranga,50,21,Miércoles,0,Soleado,Festival,Ninguna,1,1
2024-02-01,Ranga Ranga,32,21,Jueves,0,Soleado,Ninguno,Ninguna,2,1
2024-02-02,Ranga Ranga,63,17,Viernes,1,Soleado,Festival,Ninguna,2,1
2024-02-03,Ranga Ranga,50,21,Sábado,1,Soleado,Ninguno,Ninguna,2,1
2024-02-04,Ranga Ranga,56,18,Domingo,1,Soleado,Ninguno,Ninguna,2,1
2024-02-05,Ranga Ranga,42,20,Lunes,0,Soleado,Ninguno,Ninguna,2,1
2024-02-06,Ranga Ranga,34,16,Martes,0,Soleado,Ninguno,Ninguna,2,1
2024-02-07,Ranga Ranga,36,15,Miércoles,0,Soleado,Ninguno,Ninguna,2,1
2024-02-08,Ranga Ranga,52,20,Jueves,0,Soleado,Ninguno,Descuento,2,1
2024-02-09,Ranga Ranga,52,18,Viernes,1,Soleado,Ninguno,Ninguna,2,1
2024-02-10,Ranga Ranga,54,16,Sábado,1,Nublado,Ninguno,Ninguna,2,1
2024-02-11,Ranga Ranga,58,23,Domingo,1,Soleado,Ninguno,Ninguna,2,1
2024-02-12,Ranga Ranga,31,19,Lunes,0,Soleado,Ninguno,Ninguna,2,1
2024-02-13,Ranga Ranga,38,18,Martes,0,Soleado,Ninguno,Ninguna,2,1
2024-02-14,Ranga Ranga,31,15,Miércoles,0,Soleado,Ninguno,Ninguna,2,1
2024-02-15,Ranga Ranga,41,23,Jueves,0,Lluvioso,Ninguno,Ninguna,2,1
2024-02-16,Ranga Ranga,48,17,Viernes,1,Nublado,Ninguno,Ninguna,2,1
2024-02-17,Ranga Ranga,54,19,Sábado,1,Soleado,Ninguno,Ninguna,2,1
2024-02-18,Ranga Ranga,51,21,Domingo,1,Soleado,Ninguno,Ninguna,2,1
2024-02-19,Ranga Ranga,27,19,Lunes,0,Nublado,Ninguno,Ninguna,2,1
2024-02-20,Ranga Ranga,34,20,Martes,0,Soleado,Ninguno,Ninguna,2,1
2024-02-21,Ranga Ranga,48,21,Miércoles,0,Nublado,Ninguno,Ninguna,2,1
2024-02-22,Ranga Ranga,39,17,Jueves,0,Soleado,Ninguno,Menu del Dia,2,1
2024-02-23,Ranga Ranga,62,18,Viernes,1,Lluvioso,Ninguno,Ninguna,2,1
2024-02-24,Ranga Ranga,54,18,Sábado,1,Soleado,Ninguno,Ninguna,2,1
2024-02-25,Ranga Ranga,55,17,Domingo,1,Lluvioso,Ninguno,Ninguna,2,1
2024-02-26,Ranga Ranga,44,19,Lunes,0,Soleado,Ninguno,2x1,2,1
2024-02-27,Ranga Ranga,30,16,Martes,0,Nublado,Ninguno,Ninguna,2,1
2024-02-28,Ranga Ranga,42,19,Miércoles,0,Soleado,Ninguno,Descuento,2,1
2024-02-29,Ranga Ranga,29,23,Jueves,0,Nublado,Ninguno,Ninguna,2,1
2024-03-01,Ranga Ranga,44,19,Viernes,1,Nublado,Ninguno,Ninguna,3,1
2024-03-02,Ranga Ranga,72,15,Sábado,1,Nublado,Fiesta,Menu del Dia,3,1
2024-03-03,Ranga Ranga,50,19,Domingo,1,Nublado,Ninguno,Ninguna,3,1
2024-03-04,Ranga Ranga,28,20,Lunes,0,Soleado,Ninguno,Ninguna,3,1
2024-03-05,Ranga Ranga,60,20,Martes,0,Nublado,Feriado,Menu del Dia,3,1
2024-03-06,Ranga Ranga,42,21,Miércoles,0,Soleado,Feriado,Ninguna,3,1
2024-03-07,Ranga Ranga,27,21,Jueves,0,Nublado,Ninguno,Ninguna,3,1
2024-03-08,Ranga Ranga,51,20,Viernes,1,Nublado,Ninguno,Ninguna,3,1
2024-03-09,Ranga Ranga,49,20,Sábado,1,Soleado,Ninguno,Ninguna,3,1
2024-03-10,Ranga Ranga,50,20,Domingo,1,Soleado,Ninguno,Ninguna,3,1
2024-03-11,Ranga Ranga,27,22,Lunes,0,Soleado,Ninguno,Ninguna,3,1
